[Application]
Name=DataLog.exe
Title=Valeport Datalog X2
Version=1.0.4.1270
DateSeparator=/
TimeSeparator=:
ThousandSeparator=,
DecimalSeparator=.

[Header]
Count=45
Instrument=
Device_Series=400
Device_Type=606 (5000DBAR)
Serial_Number=20166
Firmware=0400703Z
Latitude=
Longitude=
Site_Info=MBA SEPIA
Sampling_Mode=2 Continuous
Sampling_Rate=8 Hz
Sampling_Period=5 Secs
Average_Type=0 None
Average_Period=1 Secs
File_Number=5
Density=1025.973
Gravity=9.807
Battery=10.82 Volts
Pressure_Tare=11.375
Pressure_Tare_Mode=
Pressure_Tare_Time=2018/08/13 10:08:09.000
Time_Stamp=16/10/2018 13:20:51
Time_Interval=120
Application_Name=Valeport Datalog X2
Application_Version=1.0.4.1270
Previous File Location=5807172
No of Bytes Stored in Previous File=6604
Model Name=606 (5000DBAR)
File Name=UNKNOWN
Site Information=MBA SEPIA
Serial No.=20166
No. of Modules Connected=2
Fitted Address List=10;20
Parameters for each module=1;2
Secondary Cal Used=1;0;0;1;1;0
Gain=500;0;0;8;1000;0
Offset=-20000;0;0;-20000;-20000;0
Gain Control Settings=0;154
SD Selected Flag=1
Average Mode=NONE
Moving Average Length=1
Sample Mode=CONT
Sample Rate=8
Sample Period=5
Tare Time Stamp=13/08/2018 10:08:09
External PSU Voltage=10

[Columns]
Count=8
Date/Time=Date/Time;;
Depth=Float;m;Calculated
Conductivity=Float;MS/CM;
Pressure=Float;DBAR;
Temperature=Float;C;
Salinity=Float;PSU;Calculated
Sound Velocity=Float;M/SEC;Calculated
Density=Float;kg/m³;Calculated

[Data]
Date/Time	Depth	Conductivity	Pressure	Temperature	Salinity	Sound Velocity	Density
16/10/2018 13:23:42	0.000	0.008	0.000	14.668	0.010	1464.784	999.158
16/10/2018 13:23:50	0.130	0.193	0.125	14.674	0.159	1464.982	999.272
16/10/2018 13:24:06	0.250	1.872	0.250	14.657	1.503	1466.491	1000.307
16/10/2018 13:26:50	0.380	33.460	0.375	14.807	26.666	1496.369	1019.599
16/10/2018 13:26:51	0.500	33.442	0.500	14.808	26.649	1496.357	1019.586
16/10/2018 13:26:51	0.630	33.431	0.625	14.804	26.642	1496.336	1019.582
16/10/2018 13:26:52	0.750	33.396	0.750	14.792	26.619	1496.274	1019.568
16/10/2018 13:26:52	0.880	33.369	0.875	14.790	26.597	1496.243	1019.551
16/10/2018 13:26:53	1.000	33.347	1.000	14.788	26.579	1496.216	1019.539
16/10/2018 13:26:53	1.130	33.371	1.125	14.787	26.601	1496.240	1019.556
16/10/2018 13:26:54	1.250	33.444	1.250	14.787	26.666	1496.317	1019.606
16/10/2018 13:26:54	1.380	33.449	1.375	14.787	26.669	1496.326	1019.610
16/10/2018 13:26:55	1.500	33.411	1.500	14.788	26.635	1496.291	1019.584
16/10/2018 13:26:55	1.630	33.406	1.625	14.789	26.630	1496.289	1019.581
16/10/2018 13:26:56	1.880	33.521	1.875	14.789	26.731	1496.413	1019.659
16/10/2018 13:26:56	2.000	33.702	2.000	14.789	26.891	1496.600	1019.783
16/10/2018 13:26:57	2.130	33.569	2.125	14.790	26.773	1496.469	1019.692
16/10/2018 13:26:57	2.250	34.028	2.250	14.790	27.179	1496.942	1020.005
16/10/2018 13:26:58	2.380	34.284	2.375	14.797	27.400	1497.224	1020.174
